"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-01-01","0.17","0.0","0.0","64","53"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-01-02","0.00","0.0","0.0","61","48"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-01-03","0.00","0.0","0.0","68","46"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-01-04","0.00","0.0","0.0","61","49"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-01-05","0.03","0.0","0.0","69","52"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-01-06","0.00","0.0","0.0","68","44"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-01-07","0.00","0.0","0.0","63","42"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-01-08","0.00","0.0","0.0","63","44"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-01-09","0.02","0.0","0.0","66","46"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-01-10","0.07","0.0","0.0","69","52"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-01-11","0.00","0.0","0.0","63","45"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-01-12","0.00","0.0","0.0","63","42"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-01-13","0.00","0.0","0.0","59","41"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-01-14","0.07","0.0","0.0","55","42"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-01-15","0.00","0.0","0.0","61","44"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-01-16","0.00","0.0","0.0","72","56"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-01-17","0.00","0.0","0.0","68","50"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-01-18","0.00","0.0","0.0","66","48"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-01-19","0.00","0.0","0.0","62","41"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-01-20","0.00","0.0","0.0","66","47"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-01-21","0.00","0.0","0.0","68","45"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-01-22","0.00","0.0","0.0","69","35"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-01-23","0.00","0.0","0.0","68","51"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-01-24","0.00","0.0","0.0","74","50"
